BlockId,sequence
blk_2013325748856732111,"[1, 7, 1, 1, 3, 4, 3, 4, 2, 2, 3, 4, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-5337994755640289830,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8729162853545308118,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 10, 9, 8, 9, 6, 6, 6, 5, 5, 5, 15]"
blk_7523193419675083274,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_-6689614308409336057,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 8, 9, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_1671779663447174401,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8716244237763720958,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_344295897461734506,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 8, 9, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_6778948312309528424,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 8, 9, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8975784420855095283,"[1, 7, 1, 1, 3, 4, 3, 4, 2, 3, 4, 2, 2, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_3174751483965949562,"[1, 1, 7, 1, 3, 4, 3, 4, 2, 3, 4, 2, 2, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8922692504150928377,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 8, 9, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_6051183265899502163,"[1, 7, 1, 1, 3, 4, 3, 4, 2, 2, 3, 4, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 18, 2, 5, 5]"
blk_448592873889985922,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_7865818174831484581,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8750997530106786888,"[1, 1, 7, 1, 3, 4, 3, 3, 4, 4, 2, 2, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_-7261016699776316248,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 8, 9, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_7409100024045179646,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 8, 9, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_-2033526004731990730,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_9036962293154594303,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_-1748869645497411855,"[1, 7, 1, 1, 3, 3, 4, 4, 3, 4, 2, 2, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8424619398612866719,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 8, 9, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_-4560669296456646716,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8251359911027527969,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_9214796566095378408,"[7, 1, 1, 1, 3, 4, 3, 4, 2, 2, 3, 4, 2, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_-2388311246798576509,"[1, 1, 7, 1, 3, 4, 3, 3, 4, 4, 2, 2, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_5458318244719760153,"[1, 7, 1, 1, 3, 3, 4, 4, 3, 4, 2, 2, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 18, 2, 5, 5]"
blk_-1018108268208665701,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8157007602552620601,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_8280162924437316474,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 10, 9, 9, 8, 6, 6, 6, 5, 5, 5, 15]"
blk_-5087939924532795057,"[1, 7]"
blk_8963052321499171482,"[1, 1, 7, 1, 3, 4, 2, 3, 4, 2, 3, 4, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_188682839063125077,"[1, 7]"
blk_-2437547284244111497,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8764693703744759187,"[1, 1, 1, 7, 3, 4, 2, 3, 4, 3, 4, 2, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_6806497011036089908,"[1, 1, 7, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8498401613791720690,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_1483694219884556894,"[1, 7]"
blk_8556783396059801409,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_6249371971857255334,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8074764299476278402,"[1, 7, 1, 1, 2, 3, 4, 2, 3, 4, 3, 4, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_8491971867438278117,"[1, 1, 1, 7, 3, 4, 3, 3, 4, 4, 2, 2, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_8574135221556602405,"[1, 7, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_2075234716713999208,"[1, 1, 1, 7, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-6228369913588836994,"[1, 7, 1, 1, 3, 4, 2, 3, 4, 2, 2, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_6020383172603634019,"[1, 7, 1, 1, 3, 4, 3, 4, 2, 3, 4, 2, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_9203790828755100013,"[7, 1, 1, 1, 2, 3, 4, 3, 4, 2, 3, 4, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_9113164824428648432,"[1, 7, 1, 1, 3, 4, 3, 4, 2, 3, 4, 2, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_9089233838444061529,"[7, 1, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_7951884590850562414,"[7, 1, 1, 1, 2, 3, 4, 3, 4, 2, 2, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_7648436334209344608,"[7, 1, 1, 16]"
blk_8277429727722645510,"[7, 1, 1, 1, 2, 4, 3, 4, 2, 3, 4, 3, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_8669216175735562689,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8869736409186522879,"[1, 1, 7, 1, 3, 4, 3, 4, 2, 3, 4, 2, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_5482154336643183343,"[1, 7]"
blk_-5447417104355795463,"[1, 7, 1, 16]"
blk_8201117867106038775,"[7, 1]"
blk_8595953129858897576,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 15, 15, 5]"
blk_7505495163819331501,"[1, 1, 1, 7, 2, 2, 3, 4, 3, 4, 3, 4, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8827951563980824329,"[1, 1, 7, 1, 4, 3, 4, 2, 2, 3, 4, 3, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_7689982531196174133,"[7, 1]"
blk_1692120908097027760,"[1, 1, 7, 1, 2, 3, 4, 3, 4, 2, 3, 4, 2, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-3048100091565287612,"[7, 1, 1, 16]"
blk_8362325295506522506,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 3, 4, 2, 2, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_3093127367153705019,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_7985524981839863080,"[1, 1, 1, 7, 2, 3, 4, 3, 4, 3, 4, 2, 2, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_7604683085433170185,"[1, 7, 1, 1, 2, 4, 2, 3, 4, 3, 4, 3, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_4479034282221691265,"[7, 1, 1, 1, 2, 3, 4, 2, 3, 4, 2, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_2299327360406878240,"[7, 1]"
blk_-4636159087827707811,"[7, 1, 1, 1, 3, 4, 2, 2, 3, 4, 3, 4, 2, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8591542202077771197,"[1, 7, 1, 16]"
blk_8534237707549154279,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_2486178942380652748,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-8188730556182299562,"[1, 7, 1, 16]"
blk_1907193123990348590,"[7, 1]"
blk_-4584260656075541553,"[7, 1, 1, 16]"
blk_8687300722271711987,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8074191249935269840,"[7, 1, 1, 1, 3, 4, 2, 2, 2, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8438877587908664763,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8386155670234862721,"[7, 1, 1, 1, 2, 3, 4, 2, 2, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_-4000271277927010782,"[7, 1, 1, 16]"
blk_2417363731073344373,"[7, 1, 1, 1, 2, 2, 3, 4, 2, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-6241220582305795548,"[7, 1, 1, 1, 2, 2, 3, 4, 2, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8032319793865058657,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 3, 4, 4, 2, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_6497123060009861497,"[1, 7]"
blk_-6368080607687883191,"[7, 1]"
blk_-8599731671847920909,"[7, 1, 1, 16]"
blk_8902874290653812711,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_9059213897892511730,"[7, 1]"
blk_4971154345890344,"[7, 1, 1, 16]"
blk_9211607823870317301,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_1324709291391680362,"[7, 1, 1, 16]"
blk_701002159220026110,"[7, 1]"
blk_5972760974375530027,"[7, 1]"
blk_-9136899640657293877,"[7, 1, 1, 16]"
blk_-1716295386405014363,"[7, 1, 1, 16]"
blk_6996194389878584395,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-6537466496668089147,"[7, 1]"
blk_-3068938607837722121,"[7, 1, 1, 16]"
blk_9097589278338830437,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8481640719132794798,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_7819129300327159896,"[7, 1, 1, 16]"
blk_8955019103629391894,"[7, 1, 1, 16]"
blk_-8497592682221017946,"[7, 1]"
blk_-6744501669016713784,"[7, 1]"
blk_-67897746448958425,"[7, 1, 1, 16]"
blk_-2720637654072551626,"[7, 1]"
blk_-6215051590034285968,"[7, 1]"
blk_1344575558593443180,"[7, 1, 1, 16]"
blk_-2195201456641508025,"[7, 1, 1, 16]"
blk_-911884192120662511,"[7, 1, 1, 16]"
blk_-6120634070609301891,"[7, 1]"
blk_8651970783815872348,"[7, 1]"
blk_3708679726899046099,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-8840533539329242262,"[7, 1, 1, 16]"
blk_-967996491121599783,"[7, 1, 1, 1, 2, 4, 3, 4, 2, 2, 3, 4, 3, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_7976374953602198954,"[7, 1, 1, 16]"
blk_-1541612089083514964,"[7, 1]"
blk_5073858743108971792,"[7, 1]"
blk_8165490604725507886,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_-7854206162767030463,"[7, 1]"
blk_-1317531069481353823,"[7, 1, 1, 16]"
blk_5782302342707141533,"[7, 1]"
blk_8359282243099177241,"[7, 1, 1, 1, 2, 3, 4, 2, 2, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_8464056021668582878,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_9148442421530482614,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 3, 4, 4, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_5908206538552454113,"[7, 1, 1, 16]"
blk_8686779298165385949,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_5802078870340405089,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 9, 8, 9, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-4845663345676718484,"[7, 1]"
blk_-4194977335586343802,"[7, 1]"
blk_-496692173417080186,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8729768707867317330,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_-7044024876920809411,"[7, 1]"
blk_1968107584907454835,"[7, 1]"
blk_1540682700808261265,"[7, 1, 1, 16]"
blk_7489923904286676953,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8776541468782357879,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_4797010597622047462,"[7, 1, 1, 16]"
blk_8246640784664624144,"[7, 1, 1, 1, 2, 3, 4, 4, 2, 2, 3, 4, 3, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_8956029894348668245,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 15, 15, 5]"
blk_8608974154783629388,"[7, 1, 1, 1, 2, 2, 3, 4, 4, 2, 3, 4, 3, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8225451996519902271,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_-5350492094942566244,"[7, 1, 1, 16]"
blk_4438299806816545743,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_3061937980832296286,"[7, 1, 1, 16]"
blk_8522440494057928612,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_7936423389955810426,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_-2806392838173367292,"[7, 1, 1, 16]"
blk_8583609883851289399,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 5, 15, 15]"
blk_-202615617634445955,"[7, 1, 1, 16]"
blk_7362149085962708450,"[7, 1]"
blk_8001785891180422666,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_2654016902986803151,"[7, 1]"
blk_5679332564404011413,"[7, 1]"
blk_25023618081021823,"[7, 1]"
blk_-1968007884603578540,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-7418519047272044126,"[7, 1, 1, 16]"
blk_-487160497666132,"[7, 1, 1, 16]"
blk_43482893556276394,"[7, 1]"
blk_8486355478273768083,"[7, 1]"
blk_-2609147762147790302,"[7, 1, 1, 16]"
blk_-1188841150645918532,"[7, 1, 1, 16]"
blk_8582181734275842017,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 15, 5, 5]"
blk_7344562686205640955,"[7, 1]"
blk_8751446418791214913,"[7, 1, 1, 1, 2, 4, 2, 2, 3, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_809602586563834919,"[7, 1]"
blk_7834522543694883059,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_8102914646678377423,"[7, 1, 1, 16]"
blk_-8564559053757187153,"[7, 1, 1, 16]"
blk_-3947118178407586866,"[7, 1, 1, 16]"
blk_8509328013649051336,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 15, 5, 15]"
blk_9040791865370476433,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 3, 4, 2, 10, 9, 9, 8, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_3447884879668134874,"[7, 1, 1, 16]"
blk_7813615865800609642,"[7, 1]"
blk_-7981936966289431785,"[7, 1]"
blk_8582970738191859541,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 5, 15, 15]"
blk_-423065043106849758,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8330478536110405061,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8822775702627284108,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 10, 10, 9, 8, 9, 10, 6, 6, 6, 5, 5, 15, 5]"
blk_-3485739706870275513,"[7, 1]"
blk_-511058354155453697,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 9, 8, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_989409441141247289,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 10, 9, 8, 9, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_-2458726717499219368,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8592983560257358579,"[7, 1, 1, 16]"
blk_7775703395393605750,"[7, 1, 1, 1, 2, 2, 3, 4, 3, 4, 2, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_-8592783146128373201,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_4961970861863065608,"[7, 1, 1, 1, 2, 2, 2, 3, 4, 3, 4, 3, 4, 9, 8, 9, 10, 10, 10, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_6006300655294348209,"[7, 1, 1, 16]"
blk_-6324108399310032667,"[7, 1]"
